Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547460000.0 139901.0 NA 126 333 0 NA NA NA 517 461 0 NA NA NA 1008 3335 963 NA NA NA 1621 5066 1070 NA NA
1547460000.0 139902.0 NA 143 341 0 NA NA NA 563 487 0 NA NA NA 916 4079 1382 NA NA NA 782 5733 1529 NA NA
1547460000.0 13992502.0 NA 272 600 0 NA NA NA 578 866 0 NA NA NA 3821 4546 875 NA NA NA 2894 2651 915 NA NA
1547460000.0 14.0 NA 118 311 0 NA NA NA 591 441 0 NA NA NA 3540 6733 688 NA NA NA 2283 4173 727 NA NA
1547460000.0 140.0 87 110 196 0 NA NA 147 583 334 0 NA NA 5581 992 2026 472 NA NA 6815 1091 2733 771 NA NA
1547460000.0 140.53 NA 310 0 NA NA NA NA 460 0 NA NA NA NA 2991 297 NA NA NA NA 1724 386 NA NA NA
1547460000.0 144.6 NA 293 NA NA NA NA NA 429 NA NA NA NA NA 2899 NA NA NA NA NA 3087 NA NA NA NA
1547460000.0 148.0 94 160 365 0 NA NA 159 587 587 0 NA NA 4860 622 2523 1163 NA NA 4440 530 2669 1311 NA NA
1547460000.0 158.0 74 182 357 0 NA NA 126 547 511 0 NA NA 3307 1057 1979 1115 NA NA 2733 579 1933 1158 NA NA
1547460000.0 18.0 NA 104 271 0 NA NA NA 590 410 0 NA NA NA 2352 3813 1118 NA NA NA 1215 4597 1740 NA NA
1547460000.0 2.0 93 103 193 NA NA NA 220 538 323 NA NA NA 5667 890 2513 NA NA NA 3034 773 2706 NA NA NA
1547460000.0 2017.1 355 0 128 NA NA NA 734 0 203 NA NA NA 1397 334 989 NA NA NA 1150 445 1970 NA NA NA
1547460000.0 2017.13 372 0 NA NA NA NA 730 0 NA NA NA NA 1127 291 NA NA NA NA 866 364 NA NA NA NA
1547460000.0 2017.2 305 0 130 NA NA NA 738 0 204 NA NA NA 1233 303 1021 NA NA NA 1293 454 1746 NA NA NA
1547460000.0 2017.3 308 0 137 NA NA NA 686 0 207 NA NA NA 1161 300 912 NA NA NA 1912 692 1016 NA NA NA
1547460000.0 2017.4 348 0 128 NA NA NA 737 0 203 NA NA NA 1257 328 933 NA NA NA 1207 535 1094 NA NA NA
